region,model,mse,mae,ev
Vransko,cars,92241.22,298.88596,-26968.736328125
Vransko,cars,92241.21875,298.8859558105469,-26968.736328125
Vransko,cars,92241.21875,298.8859558105469,-26968.736328125
Vransko,cars,92241.21875,298.8859558105469,-26968.736328125
Vransko,cars,84644.5,279.44586181640625,-167827.671875
Vransko,cars,162492.921875,395.0372619628906,-224718.71875
Vransko,cars,258488.71875,505.8465881347656,-49180.76953125
Vransko,cars,206484.125,443.0478515625,-179097.484375
Vransko,cars,239457.515625,481.0330810546875,-199803.359375
Vransko,cars,191272.53125,435.00830078125,-50398.6875
Vransko,cars,230362.15625,476.3362121582031,-85616.765625
Vransko,cars,252579.890625,500.4878540039063,-51670.83984375
Vransko,cars,139514.875,360.45904541015625,-203758.984375
Vransko,cars,130619.9140625,346.1982727050781,-228899.375
Vransko,cars,95686.5234375,305.7274780273437,-47137.9375
Vransko,cars,102647.4921875,312.2895202636719,-108909.375
Vransko,cars,68097.1953125,251.12652587890625,-106993.75
Vransko,cars,243328.734375,487.6930847167969,-116594.03125
Vransko,cars,111582.5625,324.1886901855469,-144956.3125
Vransko,cars,177736.09375,416.25634765625,-80146.8671875
Vransko,cars,247366.84375,493.4156494140625,-85123.140625
Vransko,cars,197370.46875,441.07366943359375,-56340.375
Vransko,cars,190166.625,423.8597106933594,-228375.984375
Vransko,cars,194888.5625,435.3719787597656,-87236.7890625
Vransko,cars,224163.71875,466.314697265625,-127539.7890625
Vransko,cars,197396.171875,438.69622802734375,-93869.1796875
Vransko,cars,228151.828125,471.0845336914063,-127162.890625
Vransko,cars,106838.6328125,324.30194091796875,-26238.498046875
Vransko,cars,170585.578125,406.0044250488281,-111867.703125
Vransko,cars,161782.53125,395.65032958984375,-100467.7578125
Vransko,cars,154681.640625,388.626220703125,-77000.796875
