region,model,mse,mae,ev
Vransko,speed,9711.069,98.390305,-11130.9521484375
Vransko,speed,9711.0693359375,98.39030456542967,-11130.9521484375
Vransko,speed,9711.0693359375,98.39030456542967,-11130.9521484375
Vransko,speed,9711.0693359375,98.39030456542967,-11130.9521484375
Vransko,speed,13387.6298828125,115.36882019042967,-65695.8671875
Vransko,speed,15826.90625,125.49406433105467,-2091.582763671875
Vransko,speed,10591.1015625,102.600830078125,-1640.784423828125
Vransko,speed,13183.607421875,114.5829620361328,-31460.34375
Vransko,speed,14383.07421875,119.725341796875,-23044.1875
Vransko,speed,12019.9140625,109.36685180664062,-24688.333984375
