datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,16.6,77,12.5,986.0,0.0,0.0,24140.0
2024-05-24 15:00:00,21.1,53,11.2,984.5,0.0,0.0,24140.0
2024-05-24 16:00:00,21.4,52,11.1,984.3,0.0,0.0,24140.0
2024-05-24 18:00:00,21.0,45,8.6,984.5,0.0,0.0,24140.0
2024-05-24 20:00:00,18.6,54,9.1,984.3,0.0,0.0,24140.0
2024-05-25 00:00:00,12.7,79,9.2,985.4,0.0,0.0,24140.0
2024-05-25 01:00:00,12.4,80,9.0,985.3,0.0,0.0,24140.0
2024-05-25 02:00:00,10.0,94,9.1,985.2,0.0,0.0,24140.0
2024-05-25 04:00:00,8.8,100,8.8,985.6,0.0,0.0,24140.0
2024-05-25 06:00:00,8.1,100,8.1,985.6,0.0,0.0,24140.0
2024-05-25 08:00:00,10.7,97,10.2,985.3,0.0,0.0,24140.0
2024-05-25 10:00:00,16.6,79,12.9,985.2,0.0,0.0,24140.0
2024-05-25 12:00:00,20.6,58,12.0,985.1,0.0,0.0,24140.0
2024-05-25 14:00:00,20.1,71,14.7,984.3,0.0,0.0,24140.0
2024-05-25 16:00:00,18.7,67,12.5,983.8,0.0,0.0,24140.0
2024-05-25 18:00:00,18.9,66,12.4,983.7,0.0,0.0,24140.0
2024-05-25 20:00:00,16.7,78,12.8,983.1,0.4,0.0,24140.0
2024-05-26 00:00:00,12.9,93,11.7,984.1,0.0,0.0,24140.0
2024-05-26 01:00:00,13.2,91,11.7,984.4,0.0,0.0,24140.0
2024-05-26 02:00:00,13.3,93,12.2,983.9,0.0,0.0,24140.0
2024-05-26 04:00:00,12.9,94,12.0,983.9,0.0,0.0,9840.0
2024-05-26 06:00:00,12.2,97,11.7,984.5,0.0,0.0,24140.0
2024-05-26 08:00:00,14.1,90,12.5,985.4,0.0,0.0,24140.0
