datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,18.3,77,14.2,982.8,0.0,0.0,24140.0
2024-05-24 15:00:00,23.0,44,10.1,981.1,0.0,0.0,24140.0
2024-05-24 16:00:00,22.9,41,9.0,980.8,0.0,0.0,24140.0
2024-05-24 18:00:00,21.1,53,11.1,981.2,0.0,0.0,24140.0
2024-05-24 20:00:00,19.2,63,12.0,981.2,0.0,0.0,24140.0
2024-05-25 00:00:00,15.0,69,9.4,982.2,0.0,0.0,24140.0
2024-05-25 01:00:00,14.9,74,10.3,982.3,0.0,0.0,24140.0
2024-05-25 02:00:00,12.5,85,10.0,982.1,0.0,0.0,24140.0
2024-05-25 04:00:00,11.7,84,9.1,982.5,0.0,0.0,24140.0
2024-05-25 06:00:00,11.1,84,8.5,982.3,0.0,0.0,24140.0
2024-05-25 08:00:00,14.8,83,11.9,982.9,0.0,0.0,24140.0
2024-05-25 10:00:00,18.3,77,14.2,982.9,0.0,0.0,24140.0
2024-05-25 12:00:00,21.0,58,12.4,983.1,0.0,0.0,24140.0
