region,model,mse,mae,ev
Pomurska,speed,5448.2505,73.352684,-786.5925903320312
Pomurska,speed,5448.25048828125,73.3526840209961,-786.5925903320312
Pomurska,speed,5448.25048828125,73.3526840209961,-786.5925903320312
Pomurska,speed,5448.25048828125,73.3526840209961,-786.5925903320312
Pomurska,speed,4724.5087890625,68.52493286132812,-290.6386108398437
Pomurska,speed,5466.9169921875,73.83916473388672,-166.5079345703125
Pomurska,speed,4416.8857421875,66.17731475830078,-506.4163208007813
Pomurska,speed,4676.71484375,68.2161636352539,-211.7530975341797
Pomurska,speed,4216.1376953125,64.89125061035156,-27.234554290771484
Pomurska,speed,5218.3662109375,72.10595703125,-101.44913482666016
Pomurska,speed,5505.69921875,74.15100860595703,-38.30769729614258
Pomurska,speed,4937.0146484375,70.20649719238281,-42.25765228271485
Pomurska,speed,4751.2119140625,68.7712173461914,-180.9443206787109
Pomurska,speed,4616.8037109375,67.79456329345703,-172.31790161132812
Pomurska,speed,4663.6640625,68.1703109741211,-136.91046142578125
Pomurska,speed,5015.21875,70.48641204833984,-391.5203857421875
Pomurska,speed,5862.40478515625,76.40596008300781,-204.40625
Pomurska,speed,5790.427734375,75.72659301757812,-467.1116638183594
Pomurska,speed,4462.44482421875,66.60030364990234,-4794.49560546875
Pomurska,speed,4401.9384765625,65.85823059082031,-909.9320068359376
Pomurska,speed,5312.15771484375,72.84807586669922,-53.60051345825195
Pomurska,speed,4642.3349609375,68.06632232666016,-243.33706665039065
Pomurska,speed,4639.51171875,68.0447769165039,-237.5473480224609
Pomurska,speed,5360.70654296875,73.09011840820312,-521.2567749023438
Pomurska,speed,4303.0849609375,65.47154998779297,-356.4700927734375
Pomurska,speed,4285.45458984375,65.29005432128906,-488.1634521484375
Pomurska,speed,4209.6064453125,64.45219421386719,-1472.3912353515625
Pomurska,speed,4576.07275390625,67.50203704833984,-458.7738342285156
Pomurska,speed,4902.9462890625,69.94527435302734,-100.66799926757812
Pomurska,speed,3625.837890625,60.094573974609375,-339.7076416015625
Pomurska,speed,4946.5869140625,70.20188903808594,-198.3787384033203
Pomurska,speed,4738.0712890625,68.4111557006836,-887.1045532226562
Pomurska,speed,4307.16357421875,65.28966522216797,-518.83837890625
Pomurska,speed,4008.078857421875,63.09487533569336,-371.9101867675781
Pomurska,speed,4376.88330078125,66.02892303466797,-231.50393676757807
Pomurska,speed,5368.3564453125,73.21226501464844,-116.2110595703125
Pomurska,speed,5038.220703125,70.93230438232422,-67.1875
Pomurska,speed,5478.2001953125,73.90653991699219,-158.9666748046875
Pomurska,speed,5151.68115234375,70.99409484863281,-1628.155029296875
Pomurska,speed,4763.28759765625,68.71209716796875,-691.6173706054688
Pomurska,speed,5089.06396484375,70.9976577758789,-585.4957275390625
Pomurska,speed,5087.95947265625,70.99124145507812,-578.8914794921875
Pomurska,speed,5064.068359375,70.87810516357422,-497.2999572753906
Pomurska,speed,4945.904296875,70.01129913330078,-539.3690795898438
Pomurska,speed,4851.12158203125,69.36712646484375,-466.9837951660156
